Date,Open,High,Low,Close,Volume
2016-09-11 08:00:00,628,635,595.36,612.08,9640.781543170237
2016-09-12 08:00:00,612.08,615.21,608.01,611.62,4972.782787040055
2016-09-13 08:00:00,611.64,640,610,614.23,7273.908029960253
2016-09-14 08:00:00,614.25,617.38,612.01,613.88,5932.20144280007
2016-09-15 08:00:00,613.88,617.93,611,611.81,4374.861248480034
2016-09-16 08:00:00,611.81,614.22,609.54,610.01,3703.332127840022
2016-09-17 08:00:00,610,610.75,604.96,607.69,3566.4993196500127
2016-09-18 08:00:00,607.98,616.34,607.18,613.03,2932.957932270012
2016-09-19 08:00:00,613.03,615.05,608.6,609.79,2956.966400140002
2016-09-20 08:00:00,609.79,612.01,600.01,600.14,3414.8598507400006
2016-09-21 08:00:00,600.13,601.18,591,597.43,7658.451694440144
2016-09-22 08:00:00,597.43,598.7,595.92,597.08,2333.4253111199964
2016-09-23 08:00:00,597.08,603.99,595.95,603.29,1957.4110083699954
2016-09-24 08:00:00,603.28,606,601,602.55,943.4033069699981
2016-09-25 08:00:00,603.01,603.99,597.3,600.36,1385.718044759997
2016-09-26 08:00:00,600.24,610.1,599.86,609.14,3113.730873060002
2016-09-27 08:00:00,608.94,609.91,602.01,605.53,3196.800566699995
2016-09-28 08:00:00,605.5,605.77,603.07,603.76,2052.842590470009
2016-09-29 08:00:00,604.01,607.96,603.04,604.6,3144.330702039995
2016-09-30 08:00:00,604.6,613.27,603.99,611.1,2363.9076995899936
2016-10-01 08:00:00,611.1,616.87,611.1,614.09,1900.0600516799932
2016-10-02 08:00:00,614.08,614.21,575,609.09,4967.641680690063
2016-10-03 08:00:00,608.98,618,608.91,612.67,3284.7221777900068
2016-10-04 08:00:00,612.68,614.11,609.63,610.98,4006.4969625000344
2016-10-05 08:00:00,610.71,617.28,610,614.09,3411.1070412000336
2016-10-06 08:00:00,614.3,615.9,612.68,613.51,3075.0575965200037
2016-10-07 08:00:00,613.95,621.71,613,620.13,4853.354652970039
2016-10-08 08:00:00,619.99,622.87,617.91,620.5,3113.236697100052
2016-10-09 08:00:00,620.7,620.91,614.01,616.56,2735.938972819997
2016-10-10 08:00:00,616.55,620,615.91,618.87,3178.066558120011
2016-10-11 08:00:00,618.87,646.86,618.06,641.87,12434.74756907018
2016-10-12 08:00:00,642,644.07,636.91,637.63,3854.247786240019
2016-10-13 08:00:00,637.62,644.29,636.38,637.01,5009.933792410054
2016-10-14 08:00:00,637.01,645.4,636.72,643,6637.090713240069
2016-10-15 08:00:00,642.74,645.69,637.91,640.2,2402.26242554
2016-10-16 08:00:00,640.42,645.8,639.82,644.18,2389.2906556799953
2016-10-17 08:00:00,644.17,644.56,637.58,639.79,5018.031772200029
2016-10-18 08:00:00,639.71,641.98,632.93,638.68,6087.911736680024
2016-10-19 08:00:00,638.69,644,627.84,631.77,8991.461844850159
2016-10-20 08:00:00,631.56,633.61,628,632.46,3336.8533932700457
2016-10-21 08:00:00,632.46,639,632,636.73,7218.7123871600215
2016-10-22 08:00:00,635.91,672.2,635.06,664.99,10094.58498193005
